,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
2297,what was kalākua kaheiheimālie's place of death,['Kalākua Kaheiheimālie'],['kalakua kaheiheimalie'],['kalākua kaheiheimālie'],['ka'],['kalÄģkua kaheiheimÄģlie']
2298,is anna dorothea therbusch a male or female,['Anna Dorothea Therbusch'],['anna dorothea therbusch'],['anna dorothea therbusch'],[],['anna dorothea therbusch']
2299,What is the birth place of jo weil,['Jo Weil'],['jo weil'],['jo weil'],[],['jo weil']
2300,which 1976 comedy film did phillip adams produce?,['Phillip Adams'],['phillip adams'],['phillip adams'],[],['phillip adams']
2301,What is the nationality of cleopatra borel?,['Cleopatra Borel'],['cleopatra borel'],['cleopatra borel'],[],['cleopatra borel']
2302,What position does mauricio pellegrino play?,['Mauricio Pellegrino'],['mauricio pellegrino'],['mauricio pellegrino'],['ma'],['mauricio pellegrino']
2303,who was born in chowchilla,['Chowchilla'],['chowchilla'],['chowchilla'],[],['chowchilla']
2304,what type of film is the marihuana story,['The Marihuana Story'],['marihuana story'],[],[],[]
2305,what's the title of a drama film,['drama film'],['drama film'],[],[],[]
2306,"what family house does princess margaret, countess of snowdon belong to","['Princess Margaret, Countess of Snowdon']","['snowdon', 'princess margaret']","['margaret', 'snowdon']",['snow'],"['margaret', 'snowdon']"
2307,which country was the movie batman: assault on arkham produced,['Batman: Assault on Arkham'],['batman: assault on arkham'],['batman : assault on arkham'],[],['batman: assault on arkham']
2308,What kind of music is bad boy joe ,['Bad Boy Joe'],['bad boy joe'],['bad boy joe'],[],['bad boy joe']
2309,which country did the show brooklyn bridge come from,['Brooklyn Bridge'],['show brooklyn bridge'],['brooklyn bridge'],[],['brooklyn bridge']
2310,Which country is the film at full gallop from,['At Full Gallop'],['country'],[],[],[]
2311,where was carlos césar neves born ,['Carlos César Neves'],['carlos cesar neves'],['carlos césar neves'],[],['carlos cÃ©sar neves']
2312,which album is played by gorilla biscuits,['Gorilla Biscuits'],['gorilla biscuits'],[],[],[]
2313,which position did andriy bohdanov play,['Andriy Bohdanov'],['andriy bohdanov'],['andriy bohdanov'],"['ri', 'oh']",['andriy bohdanov']
2314,What type of computer videogame is marvel vs. capcom 2: new age of heroes?,['Marvel vs. Capcom 2: New Age of Heroes'],['marvel vs. capcom 2: new age of heroes'],['marvel vs. capcom 2 : new age of heroes'],[],['marvel vs. capcom 2: new age of heroes']
2315,what country is kristen kish from,['Kristen Kish'],['kristen kish'],['kristen kish'],[],['kristen kish']
2316,what films have bruce feirstein written?,['Bruce Feirstein'],['bruce feirstein'],['bruce feirstein'],[],['bruce feirstein']
2317,what language is butt-ugly martians spoken in,['Butt-Ugly Martians'],['butt-ugly martians'],['martians'],[],['martians']
2318,Which Australian artist was born in dunedin?,['Dunedin'],"['dunedin', 'australian artist']","['Australian', 'dunedin']",['Australian'],"['Australian', 'dunedin']"
2319,Who helped produce the film strangers with candy?,['Strangers with Candy'],['strangers with candy'],['strangers with candy'],[],[]
2320,what country was vann vannak born in,['Vann Vannak'],['vann vannak'],['vann vannak'],['van'],['vann vannak']
2321,where was claude poirier born,['Claude Poirier'],['claude poirier'],['claude poirier'],[],['claude poirier']
2322,Name a rhythm and blues artist,['rhythm and blues'],['rhythm and blues artist'],[],[],[]
2323,What is the name of an artist that is signed to noise records,['Noise Records'],['noise records'],[],[],[]
2324,which country is davey moore from ,['Davey Moore'],['davey moore'],['davey moore'],[],['davey moore']
2325,what is a jazz album recorded in 1966?,['jazz'],"['jazz album', '1966']",[],[],[]
2326,advise & consent is a film produced by whom?,['Advise & Consent'],['whom?'],[],[],[]
2327,what is a romance film ,['romance film'],['romance film'],[],[],[]
2328,whats folliott sandford pierpoint's gender,['Folliott Sandford Pierpoint'],['folliott sandford pierpoint'],[],[],['folliott sandford pierpoint']
2329,what is carl emil petersen's biological sex,['Carl Emil Petersen'],['carl emil petersen'],['carl emil petersen'],[],['carl emil petersen']
2330,Which artist is known for gangsta rap?,['gangsta rap'],['gangsta rap'],[],[],[]
2331,who directed a fistful of fingers ,['A Fistful of Fingers'],['fingers'],[],[],[]
2332,who directed too romantic,['Too Romantic'],[],[],[],[]
2333,where in turkey did manuel ii palaiologos' place of death?,['Manuel II Palaiologos'],"['turkey', 'manuel ii palaiologos']","['turkey', ""manuel ii palaiologos'""]",[],"['turkey', 'manuel ii palaiologos']"
2334,what country gave jeb loy nichols his or her nationality,['Jeb Loy Nichols'],['jeb loy nichols'],['jeb loy nichols'],[],['jeb loy nichols']
2335,Who developed unreal championship?,['Unreal Championship'],['unreal championship'],[],[],[]
2336,what genre did the artist in dread response perform,['In Dread Response'],"['genre', 'dread response']",[],[],[]
2337,what is ali g's gender?,['Ali G'],['ali g'],[],[],['ali g']
2338,What male politician died from tuberculosis?,['tuberculosis'],"['male politician', 'tuberculosis']",[],[],[]
2339,which major war did edward whipple bancroft morrison participate in,['Edward Whipple Bancroft Morrison'],['edward whipple bancroft morrison'],['edward whipple bancroft morrison'],[],['edward whipple bancroft morrison']
2340,is philippe jaroussky male or female,['Philippe Jaroussky'],['philippe jaroussky male or female'],['philippe jaroussky'],[],['philippe jaroussky']
2341,what type of music is congorock categorized as,['Congorock'],['congorock'],[],[],[]
2342,who was a judge,['judge'],['judge'],[],[],[]
2343,What is the gender of markus bott,['Markus Bott'],['markus bott'],['markus bott'],[],['markus bott']
2344,Where was phil harvey birthed,['Phil Harvey'],['phil harvey'],['phil harvey'],[],['phil harvey']
2345,What gender is mónika lamperth?,['Mónika Lamperth'],['monika lamperth'],['mónika lamperth'],[],['mÃ³nika lamperth']
2346,who was an instrumentalist that played the saxophone,['saxophone'],"['instrumentalist', 'saxophone']",[],[],[]
2347,where did paul foucher pass away,['Paul Foucher'],['paul foucher'],['paul foucher'],[],['paul foucher']
2348,what genre is the computer videogame i of the dragon,['I of the Dragon'],['i of the dragon'],[],[],['i of the dragon']
2349,what belgian player plays as a defender in football,['defender'],['belgian player'],['belgian'],['n'],['belgian']
2350,which 2007 comedy film did robert pulcini directed?,['Robert Pulcini'],['robert pulcini'],['robert pulcini'],"['robe', 'pu']",['robert pulcini']
2351,what country is ella enchanted from,['Ella Enchanted'],['ella enchanted'],[],[],['ella']
2352,what language is waking up in reno in?,['Waking Up in Reno'],['reno'],['reno'],[],['reno']
2353,who is the hale telescope named after?,['Hale Telescope'],['hale telescope'],[],[],['hale']
2354,what gameplay mode does secret of mana have,['Secret of Mana'],['secret of mana'],['secret of mana'],[],['secret of mana']
2355,What is the country of origin of the film besa e kuqe?,['Besa e kuqe'],['besa e kuqe'],['e kuqe'],[],['besa e kuqe']
2356,what albums have been released by humble pie?,['Humble Pie'],['humble pie'],['humble pie'],[],['humble pie']
2357,what is bambi jones's gender?,['Bambi Jones'],['bambi jones'],['bambi jones'],[],['bambi jones']
2358,what country gives michael vescera his nationality,['Michael Vescera'],['michael vescera'],['michael vescera'],[],['michael vescera']
2359,who is dizengoff street named after,['Dizengoff Street'],['dizengoff street'],[],[],['dizengoff']
2360,where was don healy born,['Don Healy'],['don healy'],['don healy'],[],['don healy']
2361,in what category is 2912 lapalma,['2912 Lapalma'],['2912 lapalma'],[],[],['lapalma']
2362,What is the name of a film that david arnold contributed music toward,['David Arnold'],['david arnold'],['david arnold'],['da'],['david arnold']
2363,What is the birth place of minnie tittell brune?,['Minnie Tittell Brune'],['minnie tittell brune'],['minnie tittell brune'],[],['minnie tittell brune']
2364,who are valentinian ii's parents,['Valentinian II'],['valentinian ii'],['valentinian ii'],[],['valentinian ii']
2365,what kind of film is bowl of oatmeal,['Bowl of Oatmeal'],"['film', 'oatmeal']",['bowl of oatmeal'],[],[]
2366,what is ian johnson's gender?,['Ian Johnson'],['ian johnson'],['ian johnson'],[],['ian johnson']
2367,who was a person that was born in suffolk,['Suffolk'],['suffolk'],['suffolk'],[],['suffolk']
2368,What was the genre of the film mrs. fitzherbert,['Mrs. Fitzherbert'],['film mrs. fitzherbert'],['fitzherbert'],[],['fitzherbert']
2369,What is d. w. griffith's gender?,['D. W. Griffith'],['d. w. griffith'],['d. w.'],[],['d. w. griffith']
2370,What is charles trudeau's nationality,['Charles Trudeau'],['charles trudeau'],['charles trudeau'],['rud'],['charles trudeau']
2371,who is the author of bloodlines,['Bloodlines'],['bloodlines'],[],[],['bloodlines']
2372,in what country is north triangle pond located,['Triangle Pond'],['north triangle pond'],['north triangle pond'],[],['north triangle pond']
2373,which movie is produced by k. s. rama rao,['K. S. Rama Rao'],['k. s. rama rao'],['k. s. rama rao'],[],['k. s. rama rao']
2374,who directed the movie planet ocean,['Planet Ocean'],['movie planet ocean'],['planet ocean'],[],['planet ocean']
2375,which musical instrument is played by quoc-bao,['Quoc-Bao'],['quoc-bao'],[],[],['quoc-bao']
2376,what is lin houston's gender?,['Lin Houston'],['lin houston'],['lin houston'],[],['lin houston']
2377,Who directed without anesthesia?,['Without Anesthesia'],['anesthesia'],[],[],[]
2378,What caused the death of ronald davis?,['Ronald Davis'],['ronald davis'],['ronald davis'],[],['ronald davis']
2379,which country is p. balachandran from,['P. Balachandran'],['p. balachandran'],['p. balachandran'],[],['p. balachandran']
2380,Where is dave gerard from,['Dave Gerard'],['dave gerard'],['dave gerard'],[],['dave gerard']
2381,where did battle of faesulae take place,['Battle of Faesulae'],['faesulae'],[],[],['faesulae']
2382,which country released eldorado,['Eldorado'],['eldorado'],['eldorado'],[],['eldorado']
2383,what are books written by rex stout,['Rex Stout'],['rex stout'],['rex stout'],[],['rex stout']
2384,What is the second level division of douglas county?,['Douglas County'],['douglas county'],['douglas'],[],['douglas county']
2385,what is james mitchell (manager)'s gender?,['James Mitchell'],['james mitchell'],['james mitchell'],[],['james mitchell']
2386,what was the cause of death of pierre delanoë,['Pierre Delanoë'],['pierre delanoe'],['pierre delanoë'],[],['pierre delanoÃ«']
2387,Who was douglas engelbart influenced by?,['Douglas Engelbart'],['douglas engelbart'],['douglas engelbart'],[],['douglas engelbart']
2388,Who was hancock county named after,['Hancock County'],['hancock county'],[],[],['hancock county']
2389,who was the author of the startide rising novel,['Startide Rising'],['startide rising'],[],[],['startide rising']
2390,what city was buzz kilman given birth in,['Buzz Kilman'],['buzz kilman'],['buzz kilman'],[],['buzz kilman']
2391,what types of movie is the shock,['The Shock'],"['movie', 'shock']",[],[],[]
2392,Where did constance adams demille die,['Constance Adams DeMille'],['constance adams demille'],['constance adams demille'],[],['constance adams demille']
2393,where was katsuhito asano born,['Katsuhito Asano'],['katsuhito asano'],['katsuhito asano'],['ka'],['katsuhito asano']
2394,who was isabel maxwell's dad,['Isabel Maxwell'],['isabel maxwell'],['isabel maxwell'],['is'],['isabel maxwell']
2395,"john linscom boss, jr. died where?","['John Linscom Boss, Jr.']","['jr.', 'john linscom boss']",['john linscom'],[],['john linscom']
2396,What sort of metal does petr hošek play,['Petr Hošek'],['petr hosek'],['petr hošek'],[],['petr hoÅ¡ek']
2397,What military government got its name from tokugawa ieyasu,['Tokugawa Ieyasu'],['tokugawa ieyasu'],['tokugawa ieyasu'],[],['tokugawa ieyasu']
2398,what religion does bianca jagger practice,['Bianca Jagger'],['bianca jagger'],['bianca jagger'],[],['bianca jagger']
2399,who is john landis's song's name ,['John Landis'],['john landis'],['john landis'],[],['john landis']
2400,What genre of game is maximo vs. army of zin?,['Maximo vs. Army of Zin'],"['maximo', 'army of zin']",[],[],"['maximo', 'army of zin']"
2401,Where was Álvaro raposo de oliveira born?,['Álvaro Raposo de Oliveira'],['alvaro raposo de oliveira'],['Álvaro raposo de oliveira'],"['Álvaro raposo', 'oliveira']",['Ã ģlvaro raposo de oliveira']
2402,what type of country is b. j. thomas from ,['B. J. Thomas'],['b. j. thomas'],['b. j. thomas'],[],['b. j. thomas']
2403,Who is the developer of the videogame star trek: conquest?,['Star Trek: Conquest'],['star trek: conquest'],['star trek : conquest'],[],['star trek: conquest']
2404,What female producer is responsible for the decline of western civilization?,['The Decline of Western Civilization'],['western civilization'],[],[],['western']
2405,what film did dennis dugan direct,['Dennis Dugan'],['dennis dugan'],['dennis dugan'],['den'],['dennis dugan']
2406,Who is an artist that was signed to black mark productions,['Black Mark Productions'],['black mark productions'],[],[],['black mark productions']
2407,who is the founder of the hess corporation?,['Hess Corporation'],['hess corporation'],[],[],['hess corporation']
2408,What team plays in philips stadion?,['Philips Stadion'],['philips stadion'],[],[],['philips stadion']
2409,Which country was louis jurine from,['Louis Jurine'],['louis jurine'],['louis jurine'],[],['louis jurine']
2410,What music genre is unstoppable?,['Unstoppable'],['music genre'],[],[],[]
2411,Which artist wrote on your sleeve,['On Your Sleeve'],"['artist', 'sleeve']",[],[],[]
2412,what gender is luisa valenzuela?,['Luisa Valenzuela'],['luisa valenzuela'],['luisa valenzuela'],[],['luisa valenzuela']
2413,to what film did scott bradley contribute music,['Scott Bradley'],['scott bradley'],['scott bradley'],[],['scott bradley']
2414,where was kasey lansdale given birth,['Kasey Lansdale'],['kasey lansdale'],['kasey lansdale'],['ka'],['kasey lansdale']
2415,what gender is chris jones ,['Chris Jones'],['chris jones'],['chris jones'],[],['chris jones']
2416,what genre is the generous mr. lovewell?,['The Generous Mr. Lovewell'],['generous mr. lovewell'],['lovewell'],[],['lovewell']
2417,what is paul edwin roth's gender ,['Paul Edwin Roth'],['paul edwin roth'],['paul edwin roth'],[],['paul edwin roth']
2418,which football position does josé joão pereira play,['José João Pereira'],['jose joao pereira'],['josé joão pereira'],[],['josÃ© joÃ£o pereira']
2419,what game player mode is doraemon: nobita to mittsu no seireiseki played in?,['Doraemon: Nobita to Mittsu no Seireiseki'],['doraemon: nobita to mittsu no seireiseki'],['doraemon : nobita to mittsu no seireiseki'],[],['doraemon: nobita to mittsu no seireiseki']
2420,what position does michael sternkopf like to play,['Michael Sternkopf'],['michael sternkopf'],['michael sternkopf'],['chael sternko'],['michael sternkopf']
2421,what politician was birthed in new york city,['New York City'],['new york city'],['new york city'],[],['new york city']
2422,which professional footballer was born in  hemel hempstead,['Hemel Hempstead'],['hemel hempstead'],[],[],['hemel hempstead']
2423,what is the title of a netflix documentary film?,['documentary film'],['netflix documentary film'],[],[],['netflix']
2424,"if william bates is a man, what's his sex",['William Bates'],['william bates'],['william bates'],[],['william bates']
2425,what country is in absentia filmed in,['In Absentia'],"['country', 'absentia']",[],[],[]
2426,who is shakespeare tower named after,['Shakespeare Tower'],['shakespeare tower'],[],[],['shakespeare tower']
2427,What netflix genre is blackenstein?,['Blackenstein'],"['netflix genre', 'blackenstein']",[],[],"['netflix', 'blackenstein']"
2428,what is benito stefanelli's place of birth in europe?,['Benito Stefanelli'],"['europe', 'benito stefanelli']","['benito stefanelli', 'europe']","['ben', 's']","['benito stefanelli', 'europe']"
2429,what gender is krystyna janda,['Krystyna Janda'],['krystyna janda'],['krystyna janda'],[],['krystyna janda']
2430,Where was dave b. mitchell born?,['Dave B. Mitchell'],['dave b. mitchell'],['dave b. mitchell'],['mit'],['dave b. mitchell']
2431,where was reema debnath born,['Reema Debnath'],['reema debnath'],['reema debnath'],['reema debnath'],['reema debnath']
2432,who is the child of newton n. minow?,['Newton N. Minow'],['newton n. minow'],['newton n. minow'],[],['newton n. minow']
2433,what actor did adapt the super troopers film,['Super Troopers'],['super troopers film'],[],[],['super troopers']
2434,what is the henry rollins show from?,['The Henry Rollins Show'],['henry rollins'],['henry rollins'],[],['henry rollins']
2435,What is the genre of the book divisadero,['Divisadero'],['book divisadero'],[],[],['divisadero']
2436,where was jacques rémy born,['Jacques Rémy'],['jacques remy'],['jacques rémy'],[],['jacques rÃ©my']
2437,who was born in marianao,['Marianao'],['marianao'],['marianao'],['marianao'],['marianao']
2438,What is ashkan sahihi's gender,['Ashkan Sahihi'],['ashkan sahihi'],['ashkan sahihi'],['ash'],['ashkan sahihi']
2439,what silent film was released in 1927?,['silent film'],"['silent film', '1927']",[],[],[]
2440,who was the publisher of silent hunter 4: wolves of the pacific,['Silent Hunter 4: Wolves of the Pacific'],['silent hunter 4: wolves of the pacific'],['silent hunter 4 : wolves of the pacific'],[],"['silent hunter 4', 'wolves of the pacific']"
2441,who was the producer for  butterflies are free,['Butterflies Are Free'],['butterflies are free'],[],[],[]
2442,what country is mario reiter from,['Mario Reiter'],['mario reiter'],['mario reiter'],[],['mario reiter']
2443,which basin countries does the redea river flow through,['Redea River'],['redea river'],[],[],['redea']
2444,what city in Westchester County is brian sweeney from,['Brian Sweeney'],"['brian sweeney', 'westchester county']","['Westchester County', 'brian sweeney']",['Westchester County'],"['Westchester County', 'brian sweeney']"
2445,is jay costa male or female,['Jay Costa'],['jay costa male or female'],['jay costa'],[],['jay costa']
2446,What country was desk set filmed in?,['Desk Set'],"['country', 'desk']",[],[],[]
2447,which soccer position is played by thanasis papazoglou,['Thanasis Papazoglou'],['thanasis papazoglou'],['thanasis papazoglou'],[],['thanasis papazoglou']
2448,where is knob noster ,['Knob Noster'],['knob noster'],[],[],['knob noster']
2449,What is neil sloane's gender?,['Neil Sloane'],['neil sloane'],['neil sloane'],[],['neil sloane']
2450,what type of movie is main street,['Main Street'],['main street'],[],[],['main street']
2451,which mode is atlantis evolution played in,['Atlantis Evolution'],['atlantis evolution'],['atlantis evolution'],[],['atlantis']
2452,which country released battle of neretva,['Battle of Neretva'],['battle of neretva'],['neretva'],[],['battle of neretva']
2453,What was the cause of death of dave smalley,['Dave Smalley'],['dave smalley'],['dave smalley'],[],['dave smalley']
2454,what country is the banjar regency a part of ,['Banjar'],['banjar regency'],[],[],['banjar']
2455,what is shalva maglakelidze's gender?,['Shalva Maglakelidze'],['shalva maglakelidze'],['shalva maglakelidze'],[],['shalva maglakelidze']
2456,which games has midway games published,['Midway Games'],"['which games', 'midway games']",[],[],[]
2457,who is father of nigel calder,['Nigel Calder'],['nigel calder'],['nigel calder'],[],['nigel calder']
2458,Who was born in weimar?,['Weimar'],['weimar'],['weimar'],['we'],['weimar']
2459,what is the name of handball team,['handball'],['handball team'],[],[],[]
2460,how does pierre charron identify ,['Pierre Charron'],['pierre charron'],['pierre charron'],[],['pierre charron']
2461,what position does sergey kramarenko play in football,['Sergey Kramarenko'],['sergey kramarenko'],['sergey kramarenko'],['se'],['sergey kramarenko']
2462,Where was Branko Isaković born?,['Branko Isaković'],['branko isakovic'],['Branko Isaković'],['Branko Isaković'],['Branko IsakoviÄĩ']
2463,What profession was Bernard Kouchner in?,['Bernard Kouchner'],['bernard kouchner'],['Bernard Kouchner'],['Bernard Kouchner'],['Bernard Kouchner']
2464,"what is the nationality of john malcolm duhé, jr.","['John Malcolm Duhé, Jr.']","['john malcolm duhe, jr']",['john malcolm duhé'],['ma'],['john malcolm duhÃ©']
2465,Name a work by robert b. parker,['Robert B. Parker'],['robert b. parker'],['robert b. parker'],[],['robert b. parker']
2466,Name a norwegian football defender born in kristiansand,['Kristiansand'],"['name', 'kristiansand', 'norwegian football defender']","['norwegian', 'kristiansand']",['krist'],"['norwegian', 'kristiansand']"
2467,What is the gender of sidney edwards morse?,['Sidney Edwards Morse'],['sidney edwards morse'],['sidney edwards morse'],[],['sidney edwards morse']
2468,what position does dave huppert play,['Dave Huppert'],['dave huppert'],['dave huppert'],[],['dave huppert']
2469,where was revolution released ,['Revolution'],['revolution'],[],[],[]
2470,Where did alfred uhl die,['Alfred Uhl'],['alfred uhl'],['alfred uhl'],"['al', 'uh']",['alfred uhl']
2471,who made the music for muscle beach tom,['Muscle Beach Tom'],['muscle beach tom'],['muscle beach tom'],[],['muscle beach tom']
2472,which russian city was nestor kukolnik born in,['Nestor Kukolnik'],"['russian city', 'nestor kukolnik']","['russian', 'nestor kukolnik']",['ian'],"['russian', 'nestor kukolnik']"
2473,what is pepe marchena's nationality ,['Pepe Marchena'],['pepe marchena'],['pepe marchena'],[],['pepe marchena']
2474,who is a singer and a model (person),['model'],"['singer and', 'model', 'person']",[],[],[]
2475,what is a movie by the cinematographer s. gopal reddy,['S. Gopal Reddy'],['cinematographer s. gopal reddy'],['s. gopal reddy'],[],['s. gopal reddy']
2476,Who is an artist that was signed by epic records,['Epic Records'],['epic records'],[],[],['epic records']
2477,What movie has jacques demy directed,['Jacques Demy'],['jacques demy'],['jacques demy'],[],['jacques demy']
2478,What city did walther rathenau die in?,['Walther Rathenau'],['walther rathenau'],['walther rathenau'],[],['walther rathenau']
2479,what genre is the book the seven storey mountain ,['The Seven Storey Mountain'],['the seven storey mountain'],['storey mountain'],[],['the seven storey mountain']
2480,ponderosa is under what genre,['Ponderosa'],['ponderosa'],[],[],['ponderosa']
2481,where in brazil was andré bahia born?,['André Bahia'],"['brazil', 'andre bahia']","['brazil', 'andré bahia']",[],"['brazil', 'andrÃ© bahia']"
2482,what is and then there were none's album,['And Then There Were None'],['what is and then there were none'],[],[],[]
2483,What is the nationality of alex karmo,['Alex Karmo'],['alex karmo'],['alex karmo'],[],['alex karmo']
2484,What country did the show i'm a big girl now originate from,"[""I'm a Big Girl Now""]","[""i'm a big girl""]","[""i 'm a big girl now""]",[],[]
2485,what language is thomas jefferson spoken in,['Thomas Jefferson'],['thomas jefferson'],['thomas jefferson'],[],['thomas jefferson']
2486,where was erich sundermann born,['Erich Sundermann'],['erich sundermann'],['erich sundermann'],[],['erich sundermann']
2487,Where in Austria was franz wallack born?,['Franz Wallack'],"['franz wallack', 'austria']","['Austria', 'franz wallack']",['Austria'],"['Austria', 'franz wallack']"
2488,damon albarn wrote the lyrics for what song?,['Damon Albarn'],['damon albarn'],['damon albarn'],[],['damon albarn']
2489,what country is the film strange holiday from,['Strange Holiday'],['strange holiday'],[],[],[]
2490,is milton green male or female,['Milton Green'],['milton green male or female'],[],[],['milton green']
2491,the night i fell in love is an album by what acclaimed artist,['The Night I Fell in Love'],"['night', 'love', 'artist']",['the night i fell in love'],[],[]
2492,What conflict did raymond zussman participate in?,['Raymond Zussman'],['raymond zussman'],['raymond zussman'],['ray'],['raymond zussman']
2493,who is a person buried in elmwood cemetery,['Elmwood Cemetery'],['elmwood cemetery'],[],[],['elmwood cemetery']
2494,what is steve harvey's profession,['Steve Harvey'],['steve harvey'],['steve harvey'],[],['steve harvey']
2495,which movie was written by david koepp,['David Koepp'],['david koepp'],['david koepp'],['david koe'],['david koepp']
2496,Where did m. a. r. barker pass away,['M. A. R. Barker'],['m. a. r. barker'],['m. a. r. barker'],[],['m. a. r. barker']
2497,Name an actor.,['actor'],['actor'],[],[],[]
2498,who wrote any number can play,['Any Number Can Play'],['number'],[],[],[]
2499,what type of genre is i dood it?,['I Dood It'],['genre'],[],[],[]
2500,what position does ray moore play,['Ray Moore'],['ray moore'],['ray moore'],[],['ray moore']
2501,what sex is john rand?,['John Rand'],['john rand'],['john rand'],[],['john rand']
2502,What is the genre of the book the berlin stories?,['The Berlin Stories'],['the berlin stories'],[],[],['the berlin stories']
2503,who is the director of the canada on strike episode,['Canada on Strike'],['canada on strike'],['canada'],[],['canada on strike']
2504,who was the architect of coventry cathedral,['Coventry Cathedral'],['coventry cathedral'],['coventry'],[],['coventry cathedral']
2505,Who wrote the episode red hot catholic love?,['Red Hot Catholic Love'],['episode red hot catholic love'],[],[],"['red', 'catholic love']"
2506,which label does tinariwen release music under,['Tinariwen'],['tinariwen'],['tinariwen'],['tin'],['tinariwen']
2507,who was evans named after,['Evans'],['evans'],['evans'],[],['evans']
2508,who directed the movie volga-volga,['Volga-Volga'],['movie volga-volga'],['volga-volga'],[],['volga-volga']
2509,what is the nationality of mike glennon?,['Mike Glennon'],['mike glennon'],['mike glennon'],[],['mike glennon']
2510,what type of game is sound shapes?,['Sound Shapes'],"['game', 'sound shapes']",[],[],[]
2511,Who was born in Montevideo?,['Montevideo'],['montevideo'],['Montevideo'],['Montevideo'],['Montevideo']
2512,what biological sex is daniel schlereth,['Daniel Schlereth'],['daniel schlereth'],['daniel schlereth'],[],['daniel schlereth']
2513,what album was done by the artist sworn enemy,['Sworn Enemy'],['sworn enemy'],[],[],[]
2514,what is the peter friedrich bouché's sex?,['Peter Friedrich Bouché'],['peter friedrich bouche'],['peter friedrich bouché'],[],['peter friedrich bouchÃ©']
2515,what country is rivals from?,['Rivals'],['country'],[],[],[]
2516,Is karim ouelhaj male or female,['Karim Ouelhaj'],['karim ouelhaj'],['karim ouelhaj'],"['ka', 'ou']",['karim ouelhaj']
2517,what creed does william webster practice,['William Webster'],['william webster'],['william webster'],[],['william webster']
2518,what language is spoken in stranger on horseback?,['Stranger on Horseback'],"['language', 'horseback']",[],[],[]
2519,who is the artist behind nothing comes for free,['Nothing Comes for Free'],['nothing'],[],[],[]
2520,Whose album is double trouble?,['Double Trouble'],['double trouble'],[],[],[]
2521,what kind of film is the coming days,['The Coming Days'],"['film', 'days']",[],[],[]
2522,what nationality is gurdeep singh?,['Gurdeep Singh'],['gurdeep singh'],['gurdeep singh'],"['g', 'de']",['gurdeep singh']
2523,who is the father of richie steamboat,['Richie Steamboat'],['richie steamboat'],[],[],['richie steamboat']
2524,who wrote friend of the devil,['Friend of the Devil'],['friend of the devil'],[],[],[]
2525,what type of music does michaela paetsch make ,['Michaela Paetsch'],['michaela paetsch'],['michaela paetsch'],"['chaela', 'ae']",['michaela paetsch']
2526,Former baseball player hank fischer played which position?,['Hank Fischer'],['former baseball player hank fischer'],['hank fischer'],[],['hank fischer']
2527,which soccer position is played by ayden duffy,['Ayden Duffy'],['ayden duffy'],['ayden duffy'],['yden du'],['ayden duffy']
2528,what is bertrand moulinet's gender ,['Bertrand Moulinet'],['bertrand moulinet'],['bertrand moulinet'],['be'],['bertrand moulinet']
2529,which country is the film truck stop women located in?,['Truck Stop Women'],"['country', 'film truck stop women']",['truck stop women'],[],[]
2530,which netherlands city was andries bicker born in?,['Andries Bicker'],"['netherlands city', 'andries bicker']","['netherlands', 'andries bicker']",[],"['netherlands', 'andries bicker']"
2531,where in new york did paul oskar kristeller die?,['Paul Oskar Kristeller'],"['paul oskar kristeller', 'new york']","['new york', 'paul oskar kristeller']",[],"['new york', 'paul oskar kristeller']"
2532,what is carl hansen's gender,['Carl Hansen'],['carl hansen'],['carl hansen'],[],['carl hansen']
2533,what kind of video game is looney tunes: marvin strikes back!,['Looney Tunes: Marvin Strikes Back!'],"['marvin strikes back', 'looney tunes']",['marvin'],['ma'],"['looney tunes', 'marvin']"
2534,which gender is augustin verot,['Augustin Verot'],['augustin verot'],[],[],['augustin verot']
2535,What label is juvenile associated with?,['Juvenile'],['label'],[],[],[]
2536,what kind of music is better than raw ,['Better Than Raw'],['music'],[],[],[]
2537,what city in greece did  michalis oikonomou die,['Michalis Oikonomou'],"['greece', 'michalis oikonomou']","['greece', 'michalis oikonomou']",[],"['greece', 'michalis oikonomou']"
2538,what position does jaime villegas play ,['Jaime Villegas'],['jaime villegas'],['jaime villegas'],[],['jaime villegas']
2539,Where was andreas schmidt-schaller born?,['Andreas Schmidt-Schaller'],['andreas schmidt-schaller'],['andreas schmidt-schaller'],[],['andreas schmidt-schaller']
2540,what kind of film is tonight we sing?,['Tonight We Sing'],"['film', 'tonight']",[],[],[]
2541,What is a local government area in victoria (australia)?,['Victoria'],"['victoria', 'australia']","['victoria', 'australia']",[],"['victoria', 'australia']"
2542,whats the title of a  alternative rock album,['alternative rock'],['alternative rock album'],[],[],[]
2543,Where was elden kingston found to have died?,['Elden Kingston'],['elden kingston'],[],[],['elden kingston']
2544,which country was praying with anger filmed,['Praying with Anger'],"['country', 'anger']",[],[],[]
2545,Name a person born in hokkaido.,['Hokkaido'],['hokkaido'],['hokkaido'],['ido'],['hokkaido']
2546,which country was my first kiss released in ,['My First Kiss'],"['country', 'first kiss']",[],[],[]
2547,where did nappy brown's life end,['Nappy Brown'],['nappy brown'],['nappy brown'],[],['nappy brown']
