,question,entities,MuHeQA_NER,MuHeQA_PoS,MuHeQA_NER+PoS,FLERT,BERT,RoBERTA,MuHeQA_FLERT
3299,What is the name of a film in the action film genre,['action film'],[],['action film genre'],['action film genre'],[],[],[],['action film genre']
3300,Where did mel mcgaha die?,['Mel McGaha'],['mel mcgaha'],['mel mcgaha'],['mel mcgaha'],['mel mcgaha'],[],['mel mcgaha'],['mel mcgaha']
3301,What is Matt Franco's gender?,['Matt Franco'],['matt franco'],"['Matt Franco', 'gender']",['matt franco'],['Matt Franco'],['Matt Franco'],['Matt Franco'],['Matt Franco']
3302,Who died of cancer?,['cancer'],[],['cancer'],['cancer'],[],[],[],['cancer']
3303,who is the author of ethan frome,['Ethan Frome'],['ethan frome'],['ethan frome'],['ethan frome'],['ethan frome'],[],['ethan frome'],['ethan frome']
3304,Name a Latin American music album. ,['music of Latin America'],['latin american'],['Latin American music album'],['latin american music album'],['Latin American'],['Latin American'],['Latin American'],['Latin American']
3305,what was the profession of edward copson,['Edward Copson'],['edward copson'],['edward copson'],['edward copson'],['edward copson'],[],['edward copson'],['edward copson']
3306,What gender is ray richmond,['Ray Richmond'],['ray richmond'],"['gender', 'ray richmond']",['ray richmond'],['ray richmond'],[],['ray richmond'],['ray richmond']
3307,what is the philadelphia eagles's home stadium called,['Philadelphia Eagles'],['philadelphia eagles'],"['philadelphia eagles', 'home stadium']",['philadelphia eagles'],['philadelphia eagles'],[],['philadelphia eagles'],['philadelphia eagles']
3308,How did bruce gary die,['Bruce Gary'],['bruce gary'],['bruce'],['bruce gary'],['bruce gary'],[],['bruce gary'],['bruce gary']
3309,"what was william jowitt, 1st earl jowitt's place of death","['William Jowitt, 1st Earl Jowitt']","['william jowitt', 'earl jowitt']","['william jowitt', '1st earl jowitt', 'death']","['william jowitt', '1st earl jowitt']","['william jowitt', 'jowitt']","['will', 'itt', 'itt']","['william jowitt', 'jowitt']","['william jowitt', '1st earl jowitt']"
3310,What country was the commissioner released initially?,['The Commissioner'],[],"['country', 'commissioner']","['country', 'commissioner']",[],[],[],"['country', 'commissioner']"
3311,What is Ana Lelas' birthplace?,['Ana Lelas'],['ana lelas'],"[""Ana Lelas' birthplace""]","[""ana lelas' birthplace""]","[""Ana Lelas'""]",['Ana Lelas'],['Ana Lelas'],"[""Ana Lelas'""]"
3312,what gender is charlemagne,['Charlemagne'],['charlemagne'],['gender'],['charlemagne'],[],[],['charlemagne'],['gender']
3313,What is daron acemoglu's gender?,['Daron Acemoğlu'],['daron acemoglu'],"['daron acemoglu', 'gender']",['daron acemoglu'],['daron acemoglu'],[],['daron acemoglu'],['daron acemoglu']
3314,what is theodore hamberg's gender ,['Theodore Hamberg'],['theodore hamberg'],"['theodore hamberg', 'gender']",['theodore hamberg'],['theodore hamberg'],[],['theodore hamberg'],['theodore hamberg']
3315,What soccer position does detlev dammeier play,['Detlev Dammeier'],['detlev dammeier'],"['soccer position', 'dammeier play']",['detlev dammeier'],['detlev dammeier'],[],['detlev dammeier'],['detlev dammeier']
3316,Where did edmund husserl die?,['Edmund Husserl'],['edmund husserl'],['edmund husserl'],['edmund husserl'],['edmund husserl'],['edmund'],['edmund husserl'],['edmund husserl']
3317,is roy kayara male or female,['Roy Kayara'],['roy kayara'],['roy kayara male or female'],['roy kayara male or female'],['roy kayara'],[],['kayara'],['roy kayara male or female']
3318,is yawovi agboyibo male or female,['Yawovi Agboyibo'],['yawovi agboyibo'],[],['yawovi agboyibo'],['yawovi agboyibo'],[],['yawovi agboyibo'],['yawovi agboyibo']
3319,What kind of celestial object is 1480 aunus?,['1480 Aunus'],['au'],"['celestial object', '1480 aunus']",['1480 aunus'],[],[],['aunus'],"['celestial object', '1480 aunus']"
3320,Name someone who was born in sao paulo,['São Paulo'],['sao paulo'],['someone'],['sao paulo'],['sao paulo'],"['sa', 'paul']",['sao paulo'],['sao paulo']
3321,who is the artist of dee gee days: the savoy sessions,['Dee Gee Days: The Savoy Sessions'],"['dee gee', 'savoy sessions']","['dee gee days', 'savoy sessions']","['dee gee days', 'savoy sessions']",['dee gee days : the savoy sessions'],[],"['dee gee', 'savoy sessions']",['dee gee days : the savoy sessions']
3322,Name an actor.,['actor'],[],['actor'],['actor'],[],[],[],['actor']
3323,what caused kin vassy's death,['Kin Vassy'],['kin vassy'],"['kin vassy', 'death']",['kin vassy'],['kin vassy'],[],['vassy'],['kin vassy']
3324,what country was the road a year long filmed in,['The Road a Year Long'],[],"['country', 'road', 'year']","['country', 'road', 'year']",[],[],[],"['country', 'road', 'year']"
3325,what language is i love you to death?,['I Love You to Death'],[],"['language', 'death']","['language', 'death']",[],[],[],"['language', 'death']"
3326,what county did isaac shelby die in,['Isaac Shelby'],['isaac shelby'],"['county', 'isaac shelby']",['isaac shelby'],['isaac shelby'],[],['isaac shelby'],['isaac shelby']
3327,whats the language of the film  live freaky! die freaky!,['Live Freaky! Die Freaky!'],"['live', 'y', 'die freaky']",['film'],"['y', 'live', 'die freaky']",[],[],[],['film']
3328,where in australia was james plimsoll's place of death?,['James Plimsoll'],"['australia', 'james plimsoll']","['australia', 'james plimsoll', 'death']","['australia', 'james plimsoll']","['australia', 'james plimsoll']",['limsol'],"['australia', 'james plimsoll']","['australia', 'james plimsoll']"
3329,What is m. s. gill's gender?,['M. S. Gill'],['m. s. gill'],"['s. gill', 'gender']",['m. s. gill'],['m. s. gill'],[],['m. s. gill'],['m. s. gill']
3330,Name a dance music album that consists of remix compilation.,['dance music'],[],"['dance music album', 'remix compilation']","['dance music album', 'remix compilation']",[],[],[],"['dance music album', 'remix compilation']"
3331,what country was indraprastham filmed in,['Indraprastham'],['indraprastham'],"['country', 'indraprastham']",['indraprastham'],[],['indraprast'],['indraprastham'],"['country', 'indraprastham']"
3332,who was born in christchurch,['Christchurch'],['christchurch'],['christchurch'],['christchurch'],['christchurch'],['christ'],['christchurch'],['christchurch']
3333,where was alfred dorfer born at?,['Alfred Dorfer'],['alfred dorfer'],['alfred dorfer'],['alfred dorfer'],['alfred dorfer'],['al'],['alfred dorfer'],['alfred dorfer']
3334,What did snow angels (film) adapt from?,['Snow Angels'],['snow angels'],"['snow angels', 'film']",['snow angels'],['snow angels'],[],['angels'],['snow angels']
3335,where did johann ernst bach ii die,['Johann Ernst Bach'],['johann ernst bach'],['johann ernst'],['johann ernst bach'],['johann ernst bach ii'],[],['johann ernst bach ii'],['johann ernst bach ii']
3336,What is the place of birth of martin e. marty,['Martin E. Marty'],['martin e. marty'],"['martin', 'marty']",['martin e. marty'],['martin e. marty'],[],['martin e. marty'],['martin e. marty']
3337,what is m. s. swaminathan's ethnicity,['M. S. Swaminathan'],['m. s. swaminathan'],"['s. swaminathan', 'ethnicity']",['m. s. swaminathan'],['m. s. swaminathan'],['swam'],['m. s. swaminathan'],['m. s. swaminathan']
3338,what is the genre for the tv program deserving design,['Deserving Design'],['des'],"['tv program', 'design']",['design'],[],[],[],"['tv program', 'design']"
3339,what position does jorge barrera play,['Jorge Barrera'],['jorge barrera'],"['position', 'jorge barrera']",['jorge barrera'],['jorge barrera'],[],['jorge barrera'],['jorge barrera']
3340,Who was born in durban,['Durban'],['durban'],['durban'],['durban'],['durban'],['durban'],['durban'],['durban']
3341,What country was searching for debra winger filmed in,['Searching for Debra Winger'],['debra winger'],"['country', 'debra winger']",['debra winger'],['debra'],[],['debra winger'],['debra winger']
3342,What company produced the film changeling?,['Changeling'],['changeling'],"['company', 'film changeling']",['film changeling'],[],[],[],"['company', 'film changeling']"
3343,which actor was born in england?,['England'],['england'],"['actor', 'england']",['england'],['england'],[],['england'],['england']
3344,where did denys de la patellière die,['Denys de La Patellière'],['denys de la patelliere'],[],['denys de la patelliere'],['denys de la patellière'],[],['denys de la patelliÃ¨re'],['denys de la patellière']
3345,who is the artist that released the album in a time lapse,['In a Time Lapse'],[],"['artist', 'time lapse']","['artist', 'time lapse']",[],[],[],"['artist', 'time lapse']"
3346,under what genre is the film all the night long,['All Night Long'],['all the night long'],"['genre', 'film', 'night']",['all the night long'],[],[],[],"['genre', 'film', 'night']"
3347,which country is john denham (politician) from,['John Denham'],['john denham'],"['country', 'john denham', 'politician']",['john denham'],['john denham'],[],['john denham'],['john denham']
3348,Which city and country was toni branca born in,['Toni Branca'],['toni branca'],"['city and country', 'toni branca']",['toni branca'],['toni branca'],[],['toni branca'],['toni branca']
3349,what kind of genre does izegrim play ,['Izegrim'],['izegrim'],"['genre', 'izegrim']",['izegrim'],['izegrim'],[],['izegrim'],['izegrim']
3350,where was hugh maclennan born,['Hugh MacLennan'],['hugh maclennan'],['hugh maclennan'],['hugh maclennan'],['hugh maclennan'],[],['hugh maclennan'],['hugh maclennan']
3351,What is the country of origin of the film zero woman: assassin lovers?,['Zero Woman: Assassin Lovers'],"['zero woman', 'assassin lovers']","['film zero woman', 'assassin lovers']","['film zero woman', 'assassin lovers']",['zero woman : assassin lovers'],[],['zero woman'],['zero woman : assassin lovers']
3352,Which language is the film death run in,['Death Run'],['death run'],['language'],['death run'],[],[],[],['language']
3353,What is the nationality of mercedes alonso,['Mercedes Alonso'],['mercedes alonso'],[],['mercedes alonso'],['mercedes alonso'],[],['mercedes alonso'],['mercedes alonso']
3354,what country was paula filmed ,"[""Paula's Secret""]",['paula'],"['country', 'paula']",['paula'],['paula'],[],['paula'],['paula']
3355,what position does mike tolbert play,['Mike Tolbert'],['mike tolbert'],"['position', 'mike tolbert']",['mike tolbert'],['mike tolbert'],[],['mike tolbert'],['mike tolbert']
3356,"which country was the honey, i shrunk the audience! movie filmed","['Honey, I Shrunk the Audience!']",[],"['country', 'honey', 'audience', 'movie']","['country', 'honey', 'audience', 'movie']",[],[],[],"['country', 'honey', 'audience', 'movie']"
3357,what type of film is two town rowdy?,['Two Town Rowdy'],['two town'],"['film', 'two town rowdy']",['two town rowdy'],[],[],[],"['film', 'two town rowdy']"
3358,Where was jacob weigert born,['Jacob Weigert'],['jacob weigert'],['jacob weigert'],['jacob weigert'],['jacob weigert'],['j'],['jacob weigert'],['jacob weigert']
3359,where was illeana douglas born?,['Illeana Douglas'],['illeana douglas'],[],['illeana douglas'],['illeana douglas'],[],['illeana douglas'],['illeana douglas']
3360,What nationality is whitley david merrifield,['Whit Merrifield'],['whitley david merrifield'],"['nationality', 'whitley david merrifield']",['whitley david merrifield'],['whitley david merrifield'],[],['whitley david merrifield'],['whitley david merrifield']
3361,Who wrote the script for gaslight,['Gaslight'],['gaslight'],['gaslight'],['gaslight'],[],[],[],['gaslight']
3362,what country gives anna maria perez de taglé her nationality,['Anna Maria Perez de Tagle'],['anna maria perez de tagle'],"['country', 'nationality']",['anna maria perez de tagle'],['anna maria perez de taglé'],[],['anna maria perez de taglÃ©'],['anna maria perez de taglé']
3363,where is den ofrivillige golfaren from?,['Den ofrivillige golfaren'],['den ofrivillige golfaren'],[],['den ofrivillige golfaren'],[],[],"['ofriv', 'ige']",[]
3364,what is alexander manockov's gender?,['Aleksandr Manotskov'],['alexander manockov'],"['alexander manockov', 'gender']",['alexander manockov'],['alexander manockov'],[],['alexander manockov'],['alexander manockov']
3365,Where was gary holt born?,['Gary Holt'],['gary holt'],['gary holt'],['gary holt'],['gary holt'],[],['gary holt'],['gary holt']
3366,who provided the music for the film 12 rounds (film)?,['12 Rounds'],['12 rounds'],"['film 12 rounds', 'film']",['film 12 rounds'],['12 rounds'],[],['12 rounds'],['film 12 rounds']
3367,what language is spoken in papa se volvio loco,['Papá se Volvió Loco'],['papa se volvio loco'],['language'],['papa se volvio loco'],[],[],"['papa se volvio', 'o']",['language']
3368,"where was the birthplace of hugh grosvenor, 1st duke of westminster","['Hugh Grosvenor, 1st Duke of Westminster']","['hugh grosvenor', 'of westminster']","['hugh grosvenor', 'westminster']","['hugh grosvenor', 'of westminster']","['hugh grosvenor', 'westminster']",['westminster'],"['hugh grosvenor', 'of westminster']","['hugh grosvenor', 'westminster']"
3369,What kind of music does miksha make?,['Miksha'],['miksha'],"['music', 'miksha']",['miksha'],['miksha'],[],['miksha'],['miksha']
3370,who was considered to be the greatest portuguese goalkeeper in football?,['goalkeeper'],['portuguese'],['football'],['portuguese'],['portuguese'],[],['portuguese'],['portuguese']
3371,What nationality is chris kaman,['Chris Kaman'],['chris kaman'],['nationality'],['chris kaman'],['chris kaman'],[],['chris kaman'],['chris kaman']
3372,"what country created the film minotaur, the wild beast of crete","['Minotaur, the Wild Beast of Crete']","['minotaur', 'beast', 'crete']","['country', 'film minotaur', 'crete']","['crete', 'film minotaur', 'beast']","['minotaur , the wild beast of crete']",[],"['minotaur, the wild beast of crete']","['minotaur , the wild beast of crete']"
3373,the infidel was written by whom,['The Infidel'],"['the infidel', 'whom']",['infidel'],"['the infidel', 'whom']",[],[],['the infidel'],['infidel']
3374,what category does (44439) 1998 ur8 fall in?,['(44439) 1998 UR8'],[],"['category', '44439', '1998 ur8']","['category', '44439', '1998 ur8']",[],[],['ur8'],"['category', '44439', '1998 ur8']"
3375,whats the genre of the film rainfox.,['-'],['rainfox'],['film rainfox'],['film rainfox'],[],[],['rainfox'],['film rainfox']
3376,Who wrote the film christopher columbus: the discovery,['Christopher Columbus: The Discovery'],['christopher columbus: the discovery'],"['film christopher columbus', 'discovery']",['christopher columbus: the discovery'],['christopher columbus : the discovery'],[],['christopher columbus'],['christopher columbus : the discovery']
3377,which films has nikita mikhalkov produced,['Nikita Mikhalkov'],"['which films', 'nikita mikhalkov']","['films', 'nikita mikhalkov']","['nikita mikhalkov', 'which films']",['nikita mikhalkov'],['niki'],['nikita mikhalkov'],['nikita mikhalkov']
3378,What position does footballer ian porterfield play?,['Ian Porterfield'],['ian porterfield'],"['position', 'footballer ian porterfield']",['footballer ian porterfield'],['ian porterfield'],[],['ian porterfield'],['footballer ian porterfield']
3379,which novelist was born in baghdad?,['Baghdad'],['baghdad'],"['novelist', 'baghdad']",['baghdad'],['baghdad'],[],['baghdad'],['baghdad']
3380,what is the sex of katie jarvis,['Katie Jarvis'],['katie jarvis'],['katie jarvis'],['katie jarvis'],['katie jarvis'],[],['katie jarvis'],['katie jarvis']
3381,what genre is the film bug (2006 film),['Bug'],['bug'],"['genre', 'film bug', '2006 film']",['film bug'],[],[],[],"['genre', 'film bug', '2006 film']"
3382,What gender is L.L Marshall?,['L. L. Marshall'],"['l', 'l marshall']","['gender', 'L.L Marshall']",['l.l marshall'],['L.L Marshall'],['L.L Marshall'],['L.L Marshall'],['L.L Marshall']
3383,what is the gameplayer mode for europa universalis: rome?,['Europa Universalis: Rome'],['europa universalis: rome'],"['europa universalis', 'rome']",['europa universalis: rome'],[],[],['europa universalis: rome'],"['europa universalis', 'rome']"
3384,what person was born in frankfurt,['Frankfurt am Main'],['frankfurt'],"['person', 'frankfurt']",['frankfurt'],['frankfurt'],[],['frankfurt'],['frankfurt']
3385,who was the director for the beaver?,['The Beaver'],['beaver'],['beaver'],['beaver'],[],[],[],['beaver']
3386,The music album before i forget is of what genre?,['Before I Forget'],['before i forget'],['genre'],['before i forget'],['before i forget'],[],[],['before i forget']
3387,Where was antun palić born?,['Antun Palić'],['antun palic'],['antun palić'],['antun palic'],['antun palić'],['ant'],['antun paliÄĩ'],['antun palić']
3388,Where was colin bettany born?,['Colin Bettany'],['colin bettany'],['colin bettany'],['colin bettany'],['colin bettany'],['co'],['colin bettany'],['colin bettany']
3389,what is the nationality of thabo nthethe,['Thabo Nthethe'],['thabo nthethe'],['nthethe'],['thabo nthethe'],['thabo nthethe'],[],['thabo nthethe'],['thabo nthethe']
3390,what language do the characters in beware of christians speak,['Beware of Christians'],['beware of christians'],"['language', 'christians']",['beware of christians'],[],[],['beware of christians'],"['language', 'christians']"
3391,What language is the movie 8: the mormon proposition available in,['8: The Mormon Proposition'],"['movie 8', 'the mormon proposition']","['language', 'movie 8']","['the mormon proposition', 'movie 8']",[],[],['8: the mormon proposition'],"['language', 'movie 8']"
3392,Where did melvin b. tolson die?,['Melvin B. Tolson'],['melvin b. tolson'],"['melvin', 'tolson']",['melvin b. tolson'],['melvin b. tolson'],['melvin'],['melvin b. tolson'],['melvin b. tolson']
3393,What's an album made by the bloodhound gang,['Bloodhound Gang'],['bloodhound gang'],"['album', 'bloodhound gang']",['bloodhound gang'],[],[],[],"['album', 'bloodhound gang']"
3394,where was lara spencer born ,['Lara Spencer'],['lara spencer'],['lara spencer'],['lara spencer'],['lara spencer'],[],['lara spencer'],['lara spencer']
3395,which defensive position does facundo argüello play,['Facundo Argüello'],['cundo arguello'],['defensive position'],['cundo arguello'],['facundo argüello'],['üello'],['facundo argÃ¼ello'],['facundo argüello']
3396,Where was vojtěch schulmeister born?,['Vojtěch Schulmeister'],['vojtech schulmeister'],['vojtěch schulmeister'],['vojtech schulmeister'],['vojtěch schulmeister'],"['v', 'ěch']",['vojt'],['vojtěch schulmeister']
3397,Name a defensive player in soccer?,['defender'],[],['soccer'],['soccer'],[],[],[],['soccer']
3398,Name an actor.,['actor'],[],['actor'],['actor'],[],[],[],['actor']
3399,what was charlotte schwab's gender?,['Charlotte Schwab'],['charlotte schwab'],"['charlotte schwab', 'gender']",['charlotte schwab'],['charlotte schwab'],[],['charlotte schwab'],['charlotte schwab']
3400,what kind of movie is driven,['Driven'],[],['movie'],['movie'],[],[],[],['movie']
3401,who directed the film killing zoe,['Killing Zoe'],['killing zoe'],"['film', 'zoe']",['killing zoe'],['zoe'],[],['zoe'],['zoe']
3402,Which scottish politician was born in springburn?,['Springburn'],"['scottish', 'springburn']","['scottish politician', 'springburn']","['scottish politician', 'springburn']","['scottish', 'springburn']",[],"['scottish', 'springburn']","['scottish politician', 'springburn']"
3403,where is ignaz semmelweis buried,['Ignaz Semmelweis'],['ignaz semmelweis'],['semmelweis'],['ignaz semmelweis'],['ignaz semmelweis'],['igna'],['ignaz semmelweis'],['ignaz semmelweis']
3404,What's an instrument that kneel cohn plays,['Kneel Cohn'],['kneel cohn'],"['instrument', 'kneel cohn']",['kneel cohn'],['kneel cohn'],[],[],['kneel cohn']
3405,"jenin, jenin is a film that was directed by whom?",['Jenin'],"['jenin', 'jenin', 'whom']","['jenin', 'jenin', 'film']","['jenin', 'whom']","['jenin , jenin']",[],"['jenin', 'jenin']","['jenin , jenin']"
3406,Where is james cloyd bowman from,['James Cloyd Bowman'],['james cloyd bowman'],[],['james cloyd bowman'],['james cloyd bowman'],[],['james cloyd bowman'],['james cloyd bowman']
3407,Name a species of fish,['species'],[],['fish'],['fish'],[],[],[],['fish']
3408,which artist recorded fused,['Fused'],['fused'],['artist'],['fused'],[],[],[],['artist']
3409,What is a film produced by arnold kopelson,['Arnold Kopelson'],['arnold kopelson'],"['film', 'arnold kopelson']",['arnold kopelson'],['arnold kopelson'],[],['arnold kopelson'],['arnold kopelson']
3410,who directed daybreak,['Daybreak'],"['who', 'daybreak']",['daybreak'],"['who', 'daybreak']",[],[],[],['daybreak']
3411,In which country did the tv program live in style originate in?,['Living in Style'],['live in style'],"['country', 'tv program', 'style']",['live in style'],[],[],[],"['country', 'tv program', 'style']"
3412,What's the sex of charles thorson?,['Charles Thorson'],['charles thorson'],['charles thorson'],['charles thorson'],['charles thorson'],[],['charles thorson'],['charles thorson']
3413,what country is  tuxbury pond in,['Tuxbury Pond'],['tuxbury pond'],['country'],['tuxbury pond'],['tuxbury pond'],['uxbury'],['tuxbury pond'],['tuxbury pond']
3414,what is the sex of the character joe chill?,['Joe Chill'],['joe chill'],['character joe chill'],['character joe chill'],['joe chill'],[],['joe chill'],['character joe chill']
3415,What is the mouth of the roanoke river,['Roanoke River'],['roanoke river'],['roanoke river'],['roanoke river'],[],[],['roanoke'],['roanoke river']
3416,What is oliver jackson-cohen's gender?,['Oliver Jackson-Cohen'],['oliver jackson-cohen'],"['oliver jackson-cohen', 'gender']",['oliver jackson-cohen'],['oliver jackson-cohen'],[],['oliver jackson-cohen'],['oliver jackson-cohen']
3417,Where was elizabeth pisani born?,['Elizabeth Pisani'],['elizabeth pisani'],['elizabeth pisani'],['elizabeth pisani'],['elizabeth pisani'],['elizabeth p'],['elizabeth pisani'],['elizabeth pisani']
3418,what was the language used in the  movie now ill tell,"[""Now I'll Tell""]",[],"['language', 'movie']","['language', 'movie']",[],[],[],"['language', 'movie']"
3419,what is an alternative rock album,['alternative rock'],[],['alternative rock album'],['alternative rock album'],[],[],[],['alternative rock album']
3420,what language is spoken in naam iruvar namakku iruvar,['Naam Iruvar Namakku Iruvar'],"['na', 'u']","['language', 'naam iruvar namakku iruvar']",['naam iruvar namakku iruvar'],[],[],['naam iruvar namakku iruvar'],"['language', 'naam iruvar namakku iruvar']"
3421,What country filmed the black orchid,['The Black Orchid'],['black orchid'],"['country', 'black orchid']",['black orchid'],[],[],[],"['country', 'black orchid']"
3422,who made the album heartland ,['Heartland'],['heartland'],['album heartland'],['album heartland'],[],[],['heartland'],['album heartland']
3423,was 12:01 released in the us or somewhere else,['12:01'],['us'],['12:01'],['us'],['us'],[],['us'],['us']
3424,is marama corlett female or male,['Marama Corlett'],['marama corlett'],['marama corlett female or male'],['marama corlett female or male'],['marama corlett'],[],['marama corlett'],['marama corlett female or male']
3425,What language is spoken in the film joe versus the volcano,['Joe Versus the Volcano'],['joe versus the volcano'],"['language', 'volcano']",['joe versus the volcano'],[],[],['joe versus the volcano'],"['language', 'volcano']"
3426,Name a swimmer born in adelaide,['Adelaide'],['adelaide'],"['swimmer', 'adelaide']",['adelaide'],['adelaide'],[],['adelaide'],['adelaide']
3427,Where is bob van dillen from,['Bob Van Dillen'],['bob van dillen'],[],['bob van dillen'],['bob van dillen'],[],['bob van dillen'],['bob van dillen']
3428,which country was samaya filmed ,['Samaya'],['samaya'],"['country', 'samaya']",['samaya'],['samaya'],[],['samaya'],['samaya']
3429,where in Scandinavia is egil hegerberg from,['Egil Hegerberg'],"['scandinavia', 'egil hegerberg']",['Scandinavia'],"['egil hegerberg', 'scandinavia']","['Scandinavia', 'egil hegerberg']",['Scandinavia'],"['Scandinavia', 'egil hegerberg']","['egil hegerberg', 'Scandinavia']"
3430,what is a single-player sports video game ,['single-player video game'],[],['single-player sports video game'],['single-player sports video game'],[],[],[],['single-player sports video game']
3431,What is the name of the film directed by Ray McCarey?,['Ray McCarey'],['ray mccarey'],"['film', 'Ray McCarey']",['ray mccarey'],['Ray McCarey'],['Ray McCarey'],['Ray McCarey'],['Ray McCarey']
3432,What country is lake clarendon in,['Lake Clarendon'],['lake clarendon'],['country'],['lake clarendon'],[],[],['lake clarendon'],['country']
3433,What gender is yoshinori kobayashi?,['Yoshinori Kobayashi'],['yoshinori kobayashi'],"['gender', 'yoshinori']",['yoshinori kobayashi'],['yoshinori kobayashi'],[],['yoshinori kobayashi'],['yoshinori kobayashi']
3434,what country is simon wilcox from,['Simon Wilcox'],['simon wilcox'],['country'],['simon wilcox'],['simon wilcox'],[],['simon wilcox'],['simon wilcox']
3435,what is the nationality of sissi?,['Sissi'],['sissi'],['sissi'],['sissi'],['sissi'],[],['sissi'],['sissi']
3436,who directed the new york nights movie,['New York Nights'],['new york nights'],['new york nights movie'],['new york nights movie'],['new york nights'],[],['new york nights'],['new york nights movie']
3437,what film is by the warner bros.?,['Warner Bros.'],['warner bros.'],"['film', 'warner bros.']",['warner bros.'],['warner bros.'],[],['warner bros'],['warner bros.']
3438,What type of celestial body is tau centauri,['Tau Centauri'],['tau centauri'],"['celestial body', 'tau centauri']",['tau centauri'],[],[],['tau centauri'],"['celestial body', 'tau centauri']"
3439,What genre of music is myriads known as?,['Myriads'],[],"['music', 'myriads']","['music', 'myriads']",[],[],['myriads'],"['music', 'myriads']"
3440,what is the netflix genre of the last of his tribe?,['The Last of His Tribe'],"['netflix', 'last of']",['tribe'],"['netflix', 'last of']",[],[],['netflix'],['tribe']
3441,which position did alberto fouilloux play ,['Alberto Fouilloux'],['alberto fouilloux'],"['position', 'alberto fouilloux']",['alberto fouilloux'],['alberto fouilloux'],['alberto'],['alberto fouilloux'],['alberto fouilloux']
3442,what country gives nationality to prema narayan,['Prema Narayan'],['prema narayan'],"['country', 'prema narayan']",['prema narayan'],['prema narayan'],[],['prema narayan'],['prema narayan']
3443,where was jamie robinson born?,['Jamie Robinson'],['jamie robinson'],['jamie robinson'],['jamie robinson'],['jamie robinson'],"['jam', 'robin']",['jamie robinson'],['jamie robinson']
3444,what type of film is the journey of natty gann,['The Journey of Natty Gann'],['natty gann'],"['film', 'natty gann']",['natty gann'],['natty gann'],[],['natty gann'],['natty gann']
3445,who created matthew cable,['Matthew Cable'],"['who', 'matthew cable']",['matthew cable'],"['matthew cable', 'who']",[],[],['matthew cable'],['matthew cable']
3446,What is the gender of chris hicky,['Chris Hicky'],['chris hicky'],['chris hicky'],['chris hicky'],['chris hicky'],[],['chris hicky'],['chris hicky']
3447,what is david benoit's gender,['David Benoit'],['david benoit'],"['david benoit', 'gender']",['david benoit'],['david benoit'],[],['david benoit'],['david benoit']
3448,who was a pop singer that was signed to capitol records in the 40's,['Capitol Records'],['capitol records'],"['pop singer', '40']",['capitol records'],[],[],['capitol records'],"['pop singer', '40']"
3449,Which country was john leigh born in,['John Leigh'],['john leigh'],"['country', 'john leigh']",['john leigh'],['john leigh'],[],['john leigh'],['john leigh']
3450,who composed run for your life,['Run for Your Life'],['run for your life'],['life'],['run for your life'],[],[],[],['life']
3451,WHat country is one way out from,['One Way Out'],[],"['country', 'one way']","['country', 'one way']",[],[],[],"['country', 'one way']"
3452,What sort of music does holly williams play,['Holly Williams'],['holly williams'],"['music', 'holly williams']",['holly williams'],['holly williams'],[],['holly williams'],['holly williams']
3453,what album was done by the artist the haunted,['The Haunted'],['the haunted'],"['album', 'artist']",['the haunted'],[],[],['haunted'],"['album', 'artist']"
3454,what's the name of a movie that samuel z. arkoff produced,['Samuel Z. Arkoff'],['samuel z. arkoff'],"['movie', 'samuel z. arkoff']",['samuel z. arkoff'],['samuel z. arkoff'],"['z', 'a']",['samuel z. arkoff'],['samuel z. arkoff']
3455,Name a rock music album,['rock music'],[],['rock music album'],['rock music album'],[],[],[],['rock music album']
3456,Where was katherine medina born,['Katherine Medina'],['katherine medina'],['katherine medina'],['katherine medina'],['katherine medina'],['ka'],['katherine medina'],['katherine medina']
3457,"What country was the ""Children of God"" filmed in?",['Children of God'],['children of god'],"['country', 'God']",['children of god'],['Children of God'],['Children of God'],['Children of God'],['Children of God']
3458,What is a country music album,['country music'],[],['country music album'],['country music album'],[],[],[],['country music album']
3459,which language is the suite life of zack and cody in,['The Suite Life of Zack & Cody'],['zack and cody'],['language'],['zack and cody'],"['zack', 'cody']",[],"['zack', 'cody']","['zack', 'cody']"
3460,what artist recorded the comforts of madness,['The Comforts of Madness'],['madness'],"['artist', 'madness']",['madness'],[],[],[],"['artist', 'madness']"
3461,What film was produced by andy heyward,['Andy Heyward'],['andy heyward'],"['film', 'andy heyward']",['andy heyward'],['andy heyward'],[],['andy heyward'],['andy heyward']
3462,Which position was played by paul lankford,['Paul Lankford'],['paul lankford'],"['position', 'paul lankford']",['paul lankford'],['paul lankford'],[],['paul lankford'],['paul lankford']
3463,What basketball player played for the pacers,['basketball player'],['pacers'],"['basketball player', 'pacers']",['pacers'],[],[],[],"['basketball player', 'pacers']"
3464,what football position does azizon abdul kadir play,['Azizon Abdul Kadir'],['azizon abdul kadir'],"['football position', 'azizon abdul']",['azizon abdul kadir'],['azizon abdul kadir'],[],['azizon abdul kadir'],['azizon abdul kadir']
3465,Name a rock music artist.,['rock music'],[],['rock music artist'],['rock music artist'],[],[],[],['rock music artist']
3466,what is a game developed by oxygen studios?,['Oxygen Studios'],['oxygen studios'],"['game', 'oxygen studios']",['oxygen studios'],[],[],['oxygen studios'],"['game', 'oxygen studios']"
